city,country,temperature_celsius,feels_like_celsius,temp_min_celsius,temp_max_celsius,pressure_hpa,humidity_percent,wind.speed_m_s,wind.gust_m_s,clouds_percent,wind_dir_sin,wind_dir_cos,hour_of_day,is_daytime,weather.main
lucknow,IN,26.761209837882895,18.850250093705593,16.953067373290438,29.52812416943849,1008.7133150716878,29.503773558613855,2.1864603389707913,19.49720766689445,82.44490656597854,-0.9881141267079887,-0.781085188998296,21,1,clear sky
hyderabad,IN,19.756635741239027,31.58069476912978,19.061248987489495,43.51530778095015,1034.2925285949318,17.81847636650479,13.595347797058439,8.55308138456783,79.2316683835529,0.19949763988061972,0.00035528938521369455,19,1,clear sky
bengaluru,IN,21.6629395635073,40.22657263865974,7.9573093623269,30.88211937783123,995.4836011579592,99.01476727806134,12.042035922997467,13.132153118023398,37.360035067251104,-0.028922377864467153,-0.6135141544698522,21,0,few clouds
lucknow,IN,26.830205092447624,37.04315694637442,32.123324376786,32.4015513060985,988.8631056626803,54.87107389184899,1.7667819081455693,19.715863522979607,38.801641907738315,-0.9743479759354265,0.2503129322270154,3,1,scattered clouds
mumbai,IN,34.112820846414394,18.678954662719228,23.375487118042177,23.375487118042177,1048.5042267326785,58.280105622568946,0.628618559789868,14.72424894895174,74.509857984614,-0.2491344092708135,0.7168166044443867,22,0,clear sky
chennai,IN,10.572929668096133,24.771565365304877,14.067999241022536,35.42282978257255,1027.4427787795853,13.027103614517982,0.8236390825788348,15.878416683876086,88.21603788541265,0.9870635992488521,0.9903282392152633,10,1,thunderstorm
lucknow,IN,37.91587803022056,41.09031947949663,30.10815358319727,44.29778604374837,1007.6147374291445,49.64364810258227,14.768519310507815,2.7021138842381864,40.41588513117584,-0.9647733924703656,-0.3923206319448575,13,1,scattered clouds
assam,IN,34.90577689208714,12.618346466838943,24.157673698746517,33.92113781338993,998.7445255154386,94.25728028620996,3.421191008072337,1.2086485280212211,53.295725037202736,-0.903562453518627,0.30631225842307297,12,1,few clouds
kolkata,IN,12.97058268685475,30.721173384678178,25.711928696227844,26.904308466177987,1021.3590832134586,27.710891575682776,5.049611138377176,13.682554908263945,97.09678418966887,0.9739254958056616,0.9734687143647683,12,1,shower rain
jaipur,IN,28.803115582516654,24.80266197278231,20.959833177240448,34.2651573949934,987.5694129430232,47.342020847303466,0.9085085339801874,10.139661209552585,57.18124692772696,-0.7795921992082125,0.9543604991802772,17,1,scattered clouds
